Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
7356,Suikoden Tierkreis,suikoden-tierkreis,Role-Playing,E10,DS,Konami,Konami,,7.7,,,0.27,0.09,0.02,0.15,0.01,2009.0,,http://www.vgchartz.com/game/32984/suikoden-tierkreis/?region=All,1,8.1,/games/boxart/full_9085969AmericaFrontccc.jpg
7357,R.U.S.E.,ruse,Strategy,T,X360,Ubisoft,Eugen Systems,,8.0,,,0.27,0.12,0.11,0.0,0.02,2010.0,,http://www.vgchartz.com/game/32916/ruse/?region=All,1,,/games/boxart/full_ruse_9AmericaFront.jpg
7358,Ratatouille,ratatouille,Platform,E,X360,THQ,Heavy Iron Studios,,5.3,,,0.27,0.23,0.02,,0.02,2007.0,,http://www.vgchartz.com/game/6829/ratatouille/?region=All,1,,/games/boxart/6415271ccc.jpg
7359,Duel Masters,duel-masters,Strategy,E,PS2,Atari,High Voltage Software,,,,,0.27,0.13,0.1,,0.03,2004.0,,http://www.vgchartz.com/game/599/duel-masters/?region=All,1,,/games/boxart/8422965ccc.jpg
7360,The World Ends with You: Final Remix,the-world-ends-with-you-final-remix,Role-Playing,T,NS,Nintendo,Square Enix,,7.4,,,0.27,0.14,0.08,0.03,0.02,2018.0,30th Mar 19,http://www.vgchartz.com/game/220633/the-world-ends-with-you-final-remix/?region=All,1,,/games/boxart/full_3944418AmericaFrontccc.jpg
7361,Super Collapse! 3,super-collapse-3,Puzzle,E,DS,Mumbo Jumbo,Mac Play,,,,,0.27,0.25,,,0.02,2007.0,,http://www.vgchartz.com/game/6835/super-collapse-3/?region=All,1,,/games/boxart/full_7628852AmericaFrontccc.jpg
7362,One Piece: Pirate Warriors 3,one-piece-pirate-warriors-3,Action,T,PS3,Tecmo Koei,Omega Force,,,,,0.27,,0.06,0.2,0.01,2015.0,12th Jan 18,http://www.vgchartz.com/game/84362/one-piece-pirate-warriors-3/?region=All,1,,/games/boxart/full_4809900PALFrontccc.jpg
7363,Section 8,section-8,Shooter,T,X360,SouthPeak Interactive,TimeGate Studios,,7.1,,,0.27,0.15,0.09,,0.02,2009.0,,http://www.vgchartz.com/game/31789/section-8/?region=All,1,,/games/boxart/full_975103AmericaFrontccc.jpg
7364,The Dog Island,the-dog-island,Adventure,E,PS2,Ubisoft,Yuke's Media Creations,,,,,0.27,0.13,0.1,,0.03,2008.0,,http://www.vgchartz.com/game/14808/the-dog-island/?region=All,1,,/games/boxart/5281626ccc.jpg
7365,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,E,DS,Electronic Arts,EA Canada,,,,,0.27,0.24,0.01,,0.02,2005.0,,http://www.vgchartz.com/game/5487/need-for-speed-most-wanted/?region=All,1,,/games/boxart/full_4353208AmericaFrontccc.jpg
7366,Battle of Giants: Mutant Insects,battle-of-giants-mutant-insects,Strategy,E10,DS,Ubisoft,Ubisoft Quebec,,,,,0.27,0.09,0.15,,0.03,2010.0,,http://www.vgchartz.com/game/42932/battle-of-giants-mutant-insects/?region=All,1,,/games/boxart/full_6831892AmericaFrontccc.jpg
7367,Jikkyou Powerful Pro Yakyuu 2010,jikkyou-powerful-pro-yakyuu-2010,Sports,,PS3,Konami,PawaPuro Production,,,,,0.27,,,0.27,,2010.0,,http://www.vgchartz.com/game/42487/jikkyou-powerful-pro-yakyuu-2010/?region=All,1,,/games/boxart/full_7003097JapanFrontccc.jpg
